,TaskTypeID,SubTaskTypeID,AppointmentStatus,LanguageID,ForcedAppointment,SameDayAsApplied,LobbyBureauID,DayNumberOfWeek,DayNumberOfMonth,AppHour,Attempts,Reschedules,NoShows
102,162,209,1,1,0,0.0,4,2.0,28.0,9,0.0,0.0,0.0
103,162,209,1,27,0,0.0,4,2.0,11.0,14,0.0,0.0,0.0
104,162,209,0,1,0,0.0,2,4.0,5.0,8,0.0,0.0,1.0
106,162,209,1,1,1,0.0,1,5.0,27.0,14,0.0,3.0,0.0
108,162,209,1,1,0,0.0,2,4.0,21.0,10,0.0,0.0,0.0
109,162,210,1,1,0,0.0,2,1.0,19.0,10,1.0,0.0,0.0
110,162,209,1,1,0,0.0,3,5.0,12.0,14,0.0,0.0,0.0
112,162,210,0,1,0,0.0,2,5.0,14.0,13,2.0,0.0,1.0
113,162,209,1,1,0,0.0,7,2.0,19.0,11,0.0,0.0,0.0
114,162,209,0,1,0,0.0,2,1.0,3.0,13,2.0,1.0,2.0
115,162,210,1,1,0,0.0,3,4.0,29.0,8,1.0,0.0,0.0
116,162,209,0,1,0,0.0,1,5.0,2.0,9,0.0,0.0,1.0
118,162,209,1,1,0,0.0,1,5.0,5.0,8,0.0,0.0,0.0
119,162,210,1,1,0,0.0,2,2.0,28.0,12,1.0,1.0,0.0
120,162,209,1,1,0,0.0,6,3.0,27.0,13,0.0,0.0,0.0
121,162,210,1,1,0,0.0,2,3.0,8.0,14,1.0,0.0,0.0
122,162,210,1,1,0,0.0,2,2.0,16.0,8,1.0,1.0,1.0
123,162,210,1,1,0,0.0,7,5.0,15.0,9,0.0,0.0,0.0
124,162,209,0,1,0,0.0,1,5.0,7.0,13,0.0,0.0,1.0
126,162,209,1,1,0,0.0,4,3.0,3.0,8,0.0,1.0,1.0
127,162,209,1,1,0,0.0,1,3.0,21.0,10,0.0,0.0,0.0
128,162,209,1,1,0,0.0,7,4.0,19.0,9,0.0,3.0,3.0
129,162,209,0,1,0,0.0,7,5.0,21.0,8,0.0,0.0,1.0
130,162,209,1,1,0,0.0,3,1.0,2.0,13,0.0,0.0,0.0
131,162,209,1,1,0,0.0,7,1.0,20.0,14,0.0,1.0,0.0
132,162,209,1,8,0,0.0,4,2.0,26.0,11,0.0,0.0,0.0
133,162,209,1,1,0,0.0,4,3.0,28.0,13,0.0,1.0,2.0
134,162,209,0,1,0,0.0,2,4.0,9.0,14,0.0,0.0,1.0
135,162,209,1,27,0,0.0,4,2.0,7.0,9,0.0,0.0,0.0
137,162,209,1,1,0,0.0,7,4.0,27.0,9,0.0,0.0,0.0
138,162,209,1,1,0,0.0,7,4.0,15.0,13,0.0,0.0,0.0
139,162,209,1,9,0,0.0,7,3.0,10.0,13,0.0,0.0,0.0
140,162,209,1,1,0,0.0,7,1.0,13.0,9,0.0,0.0,0.0
141,162,209,1,1,0,0.0,1,2.0,18.0,8,0.0,0.0,1.0
143,162,209,1,1,0,0.0,3,3.0,7.0,11,0.0,0.0,0.0
144,162,209,1,1,0,0.0,1,1.0,16.0,8,0.0,0.0,0.0
146,162,209,1,1,0,0.0,4,5.0,30.0,13,0.0,1.0,0.0
148,162,209,1,1,0,0.0,1,5.0,12.0,8,0.0,1.0,1.0
149,162,209,1,1,0,0.0,7,2.0,24.0,14,0.0,0.0,0.0
151,162,209,0,1,0,0.0,3,1.0,10.0,8,0.0,1.0,2.0
152,162,209,0,1,0,0.0,7,1.0,29.0,14,0.0,0.0,1.0
153,162,209,1,1,0,0.0,1,4.0,8.0,12,0.0,0.0,0.0
154,162,210,1,1,0,0.0,2,3.0,19.0,14,1.0,2.0,1.0
155,162,209,0,1,0,0.0,1,2.0,24.0,9,0.0,0.0,1.0
157,162,210,0,1,0,0.0,6,5.0,10.0,8,2.0,0.0,1.0
161,162,210,1,1,0,0.0,2,1.0,10.0,13,1.0,0.0,0.0
164,162,209,1,1,1,0.0,5,4.0,6.0,13,0.0,1.0,2.0
165,162,210,1,1,0,0.0,2,1.0,23.0,13,1.0,0.0,1.0
166,162,210,0,1,0,0.0,2,2.0,23.0,14,2.0,0.0,1.0
167,162,209,1,1,0,0.0,7,1.0,24.0,13,0.0,0.0,0.0
171,162,209,1,1,0,0.0,3,3.0,15.0,8,0.0,1.0,1.0
172,162,209,1,1,0,0.0,7,3.0,13.0,8,0.0,0.0,0.0
173,162,209,1,16,0,0.0,7,5.0,26.0,13,0.0,0.0,0.0
174,162,209,1,1,0,0.0,3,4.0,14.0,8,0.0,0.0,0.0
175,162,209,0,1,0,0.0,3,1.0,3.0,9,0.0,1.0,2.0
176,162,210,1,1,0,0.0,2,1.0,29.0,13,1.0,0.0,0.0
178,162,210,1,1,0,0.0,7,1.0,5.0,13,1.0,1.0,1.0
179,162,210,1,1,0,0.0,2,3.0,12.0,8,1.0,0.0,0.0
181,162,209,0,1,0,0.0,5,5.0,7.0,13,0.0,0.0,1.0
183,162,210,1,1,0,0.0,7,1.0,13.0,8,1.0,0.0,0.0
184,162,210,1,1,0,0.0,2,5.0,31.0,14,2.0,0.0,0.0
185,162,209,1,1,0,0.0,7,2.0,27.0,14,0.0,0.0,0.0
186,162,210,1,1,0,0.0,5,3.0,24.0,9,1.0,0.0,0.0
187,162,209,0,1,0,0.0,5,5.0,30.0,9,0.0,1.0,2.0
189,162,209,1,17,0,0.0,7,4.0,9.0,8,0.0,0.0,0.0
190,162,209,1,1,0,0.0,2,1.0,27.0,7,0.0,1.0,0.0
191,162,209,1,1,0,0.0,3,4.0,13.0,14,0.0,0.0,0.0
192,162,210,0,1,0,0.0,2,3.0,20.0,7,0.0,0.0,1.0
193,162,209,1,1,0,0.0,1,2.0,19.0,10,0.0,0.0,0.0
194,162,209,1,1,0,0.0,7,3.0,12.0,13,0.0,0.0,0.0
197,162,209,1,1,0,0.0,7,3.0,26.0,9,0.0,0.0,0.0
199,162,210,1,1,0,0.0,4,5.0,19.0,14,1.0,0.0,0.0
200,162,209,1,1,0,0.0,4,1.0,20.0,9,0.0,0.0,0.0
201,162,209,1,1,0,0.0,2,1.0,3.0,12,0.0,0.0,0.0
202,162,209,1,1,0,0.0,1,5.0,14.0,8,0.0,0.0,0.0
203,162,210,0,1,0,0.0,1,1.0,11.0,8,0.0,0.0,1.0
204,162,210,1,1,0,0.0,6,2.0,28.0,9,1.0,0.0,0.0
205,162,210,0,1,0,0.0,2,4.0,29.0,14,2.0,0.0,1.0
207,162,209,1,1,0,0.0,5,3.0,12.0,9,0.0,0.0,0.0
209,162,209,1,1,0,0.0,4,5.0,24.0,8,0.0,0.0,0.0
